scenario,seed,method,chunk,phase,ari,learn_s,us_per_point,clusters
stationary,0,betula DbStream,1,before,0.8068295377252036,0.00010699099948396906,0.42796399793587625,10
stationary,0,betula DbStream,2,before,0.8827533676786584,0.00014518300304189324,0.580732012167573,7
stationary,0,betula DbStream,3,before,0.8926919286942968,0.00019557699852157384,0.7823079940862954,6
stationary,0,betula DbStream,4,before,0.8641340612974947,0.00021756899514002725,0.870275980560109,7
stationary,0,betula DbStream,5,before,0.8799585214706305,0.00025773400557227433,1.0309360222890973,5
stationary,0,betula DbStream,6,before,0.8862048884823371,0.00036199099849909544,1.4479639939963818,4
stationary,0,betula DbStream,7,before,0.8798381490921608,0.0004183769997325726,1.6735079989302903,5
stationary,0,betula DbStream,8,after,0.9037108918506813,0.0004768559956573881,1.9074239826295525,5
stationary,0,betula DbStream,9,after,0.8717146722362189,0.0005301569981384091,2.1206279925536364,6
stationary,0,betula DbStream,10,after,0.8445627920489107,0.0006591589990421198,2.6366359961684793,7
stationary,0,betula DbStream,11,after,0.9256224795643834,0.0006980219986871816,2.7920879947487265,4
stationary,0,betula DbStream,12,after,0.8905109499603201,0.0008555280001019128,3.422112000407651,4
stationary,0,betula DbStream,13,after,0.8797387291991056,0.0010585700001684017,4.234280000673607,7
stationary,0,betula DbStream,14,after,0.9252869035057378,0.0012499989970820025,4.99999598832801,6
stationary,0,betula DbStream,15,after,0.8462387436909502,0.0014100309999776073,5.640123999910429,9
stationary,0,river DBSTREAM,0,before,0.33899485643686117,0.0020784270018339157,8.313708007335663,12
stationary,0,river DBSTREAM,1,before,0.22194484657776076,0.003038752001884859,12.155008007539436,17
stationary,0,river DBSTREAM,2,before,0.21668137300247386,0.003849525994155556,15.398103976622224,19
stationary,0,river DBSTREAM,3,before,0.20144764313132127,0.004163586003414821,16.654344013659284,21
stationary,0,river DBSTREAM,4,before,0.17344019904420022,0.004659548001654912,18.638192006619647,24
stationary,0,river DBSTREAM,5,before,0.18344752185244997,0.004958780999004375,19.8351239960175,24
