dataset,method,min,median,max,range
circles,sklearn-birch,0.0024956747685822,0.005170175592969,0.0090058767335374,0.006510201964955201
circles,sklearn-gmm,-3.3175491104848445e-05,-3.269527300965628e-05,-2.906422383486677e-05,4.1112672699816744e-06
circles,sklearn-ward,-1.1810116367212052e-05,0.0005597573970163,0.0026444606316861,0.002656270748053312
circles,sklearn-hdbscan,1.0,1.0,1.0,0.0
highdim,betula-kmeans,1.0,1.0,1.0,0.0
highdim,betula-gmm,1.0,1.0,1.0,0.0
highdim,betula-gmm-full,1.0,1.0,1.0,0.0
highdim,betula-ward,1.0,1.0,1.0,0.0
highdim,betula-spectral,1.0,1.0,1.0,0.0
highdim,betula-leiden,0.9998476241316294,1.0,1.0,0.00015237586837058004
highdim,betula-hdbscan,1.0,1.0,1.0,0.0
highdim,sklearn-kmeans,1.0,1.0,1.0,0.0
highdim,sklearn-minibatch,1.0,1.0,1.0,0.0
highdim,sklearn-birch,1.0,1.0,1.0,0.0
highdim,sklearn-gmm,1.0,1.0,1.0,0.0
highdim,sklearn-ward,1.0,1.0,1.0,0.0
highdim,sklearn-hdbscan,1.0,1.0,1.0,0.0
