dataset,n,max_leaves,distance,head,seeds,ari,ari_min,ari_max,leaves,compression,max_leaf_weight,mean_sq_radius,time_s
digits,1797,112,euclidean,kmeans,3,0.19033357569000575,0.18520338722439952,0.20402097884426842,111,16.18918918918919,605.0,30.71878098034853,0.003452320001088083
digits,1797,112,euclidean,gmm,3,0.2516558300621437,0.22917877516515203,0.2516558300621437,111,16.18918918918919,605.0,30.718780980348537,0.014599854999687523
digits,1797,112,euclidean,ward,3,0.2870033716048669,0.2870033716048669,0.2870033716048669,111,16.18918918918919,605.0,30.71878098034853,0.003069259997573681
digits,1797,112,manhattan,kmeans,3,0.39930684218774704,0.34002390124792936,0.4165897440710382,111,16.18918918918919,494.0,29.60831602088215,0.0036264980008127168
digits,1797,112,manhattan,gmm,3,0.344182980438413,0.344182980438413,0.3615069392637225,111,16.18918918918919,494.0,29.60831602088215,0.017945054001756944
digits,1797,112,manhattan,ward,3,0.2498657282591734,0.2498657282591734,0.2498657282591734,111,16.18918918918919,494.0,29.60831602088215,0.003593735003960319
digits,1797,112,ward,kmeans,3,0.48448229093742506,0.4173507833535579,0.53990215961878,108,16.63888888888889,177.0,19.19367322543385,0.003337263988214545
digits,1797,112,ward,gmm,3,0.5103191602295178,0.47969331351253713,0.5103191602295178,108,16.63888888888889,177.0,19.19367322543385,0.022027487997547723
digits,1797,112,ward,ward,3,0.4949420946519717,0.4949420946519717,0.4949420946519717,108,16.63888888888889,177.0,19.19367322543385,0.003127469011815265
digits,1797,112,average,kmeans,3,0.45695210801844083,0.40350798612681904,0.4620172779148294,105,17.114285714285714,439.0,28.0363886189166,0.004070141003467143
digits,1797,112,average,gmm,3,0.44723680988039305,0.44723680988039305,0.44723680988039305,105,17.114285714285714,439.0,28.0363886189166,0.024567122003645636
digits,1797,112,average,ward,3,0.21742880928991284,0.21742880928991284,0.21742880928991284,105,17.114285714285714,439.0,28.0363886189166,0.003743958004633896
digits,1797,90,euclidean,kmeans,3,0.1785826993214336,0.12799356969104586,0.19250103777577407,89,20.191011235955056,1102.0,34.643699438973286,0.0032574840006418526
digits,1797,90,euclidean,gmm,3,0.20913164859658517,0.20913164859658517,0.27794125807039227,89,20.191011235955056,1102.0,34.64369943897326,0.01193277099810075
digits,1797,90,euclidean,ward,3,0.1101133503699786,0.1101133503699786,0.1101133503699786,89,20.191011235955056,1102.0,34.643699438973286,0.0030220710032153875
digits,1797,90,manhattan,kmeans,3,0.14786268345662973,0.13841429012919734,0.18837221521706615,86,20.8953488372093,758.0,35.39960043164143,0.0034060430043609813
digits,1797,90,manhattan,gmm,3,0.208583387465786,0.208583387465786,0.22597614236462,86,20.8953488372093,758.0,35.39960043164144,0.014027438999619335
digits,1797,90,manhattan,ward,3,0.1562301863548534,0.1562301863548534,0.1562301863548534,86,20.8953488372093,758.0,35.39960043164143,0.003099797002505511
digits,1797,90,ward,kmeans,3,0.5605695355357984,0.5169787238837307,0.6017581931028267,86,20.8953488372093,174.0,19.13270013987064,0.002993165995576419
digits,1797,90,ward,gmm,3,0.5098232663954921,0.5098232663954921,0.5465664167836972,86,20.8953488372093,174.0,19.132700139870632,0.011690496001392603
digits,1797,90,ward,ward,3,0.5798554154392779,0.5798554154392779,0.5798554154392779,86,20.8953488372093,174.0,19.13270013987064,0.0027454409864731133
digits,1797,90,average,kmeans,3,0.4064928742682913,0.4061559523665935,0.4301315295794644,86,20.8953488372093,473.0,28.094429128973065,0.00373236600717064
digits,1797,90,average,gmm,3,0.4232912065464782,0.33228332898542473,0.4232912065464782,86,20.8953488372093,473.0,28.094429128973054,0.018768772002658807
digits,1797,90,average,ward,3,0.39444685042011557,0.39444685042011557,0.39444685042011557,86,20.8953488372093,473.0,28.094429128973065,0.0033979680010816082
digits,1797,45,euclidean,kmeans,3,0.11982691876022221,0.11928188677069389,0.13549857866955106,44,40.84090909090909,1251.0,39.20567162642525,0.0024989380035549402
digits,1797,45,euclidean,gmm,3,0.2566034019873021,0.17165450968865453,0.2566034019873021,44,40.84090909090909,1251.0,39.20567162642527,0.005228499008808285
digits,1797,45,euclidean,ward,3,0.1777887507081806,0.1777887507081806,0.1777887507081806,44,40.84090909090909,1251.0,39.20567162642525,0.002389051005593501
digits,1797,45,manhattan,kmeans,3,0.07587423023294797,0.057592272264266865,0.07625315262405938,42,42.785714285714285,1471.0,43.37529315257861,0.002581431996077299
digits,1797,45,manhattan,gmm,3,0.06735460142350544,0.06581925070682719,0.06735460142350544,42,42.785714285714285,1471.0,43.37529315257861,0.005564409992075525
digits,1797,45,manhattan,ward,3,0.10586681913274522,0.10586681913274522,0.10586681913274522,42,42.785714285714285,1471.0,43.37529315257861,0.002258205000543967
digits,1797,45,ward,kmeans,3,0.5031600382512703,0.49227985907763083,0.552183307914228,41,43.829268292682926,174.0,23.889571569442413,0.0021636269957525656
digits,1797,45,ward,gmm,3,0.5458742000599057,0.5458742000599057,0.5772184893001641,41,43.829268292682926,174.0,23.889571569442417,0.004933784992317669
digits,1797,45,ward,ward,3,0.4583505211512805,0.4583505211512805,0.4583505211512805,41,43.829268292682926,174.0,23.889571569442413,0.002030346993706189
digits,1797,45,average,kmeans,3,0.1640170924220137,0.16186058933124087,0.1653816166629881,41,43.829268292682926,915.0,38.95186005886249,0.0031998960039345548
digits,1797,45,average,gmm,3,0.19871918300201982,0.19871918300201982,0.21503654993125546,41,43.829268292682926,915.0,38.9518600588625,0.010482626006705686
digits,1797,45,average,ward,3,0.12953446597095136,0.12953446597095136,0.12953446597095136,41,43.829268292682926,915.0,38.95186005886249,0.0029897710046498105
covtype-20k,20000,20000,euclidean,kmeans,3,0.0872238310841657,0.08017652026335112,0.09545387291264665,20000,1.0,1.0,0.0,0.17299637499672826
covtype-20k,20000,20000,euclidean,gmm,3,0.1108578942674258,0.08073521358066035,0.1108578942674258,20000,1.0,1.0,0.0,0.9844025780039374
covtype-20k,20000,20000,manhattan,kmeans,3,0.0872238310841657,0.08017652026335112,0.09545387291264665,20000,1.0,1.0,0.0,0.177838357994915
