dataset,n,d,method,ARI_norm_off,ARI_norm_on
digits,1797,64,betula-kmeans,0.467026404456856,0.5689109061043072
digits,1797,64,betula-gmm,0.4613285443791076,0.3871326532853788
digits,1797,64,betula-ward,0.6428099608243005,0.699358503251921
mnist,20000,784,betula-kmeans,0.3265219533678442,0.3264361783825929
mnist,20000,784,betula-gmm,0.3062586940201528,0.2172228633026509
mnist,20000,784,betula-ward,0.3935687331485714,0.3920852303032693
covtype,20000,54,betula-kmeans,0.0657670586954166,0.0019343046943147
covtype,20000,54,betula-gmm,0.0769907041789431,0.0752603706641213
covtype,20000,54,betula-ward,0.090745744211768,-0.049259711009498
