dataset,max_leaves,head,ari_b1_r0,secs_b1_r0,ari_b1_r1,secs_b1_r1,ari_b8_r0,secs_b8_r0,ari_b8_r1,secs_b8_r1,delta_refit_b1,delta_refit_b8,refit_cost_ratio
digits,90,kmeans,0.6246405240413443,0.014300504000857472,0.6503022112746941,0.014451619004830718,0.6246405240413443,0.010147216002224013,0.6198974698311207,0.017639030993450433,0.025661687233349828,-0.004743054210223585,1.220557432876847
digits,90,ward,0.6783090446908155,0.009727147000376135,0.6419728930798961,0.01366328599397093,0.6946754167859392,0.015013415002613328,0.7581000563538375,0.021990941997501068,-0.03633615161091941,0.06342463956789823,1.6094914508270415
digits,90,gmm,0.5199105147899353,0.04430321799009107,0.598798487587437,0.04825310299929697,0.5199105147899353,0.041987685006461106,0.5957898804841343,0.04068480599380564,0.0788879727975017,0.07587936569419895,0.8431541904030172
mnist-10k,200,kmeans,0.35872813891552835,0.38722819100075867,0.34346840896416087,0.650181702003465,0.35872813891552835,0.3860926670022309,0.3773865913246694,0.9839411239954643,-0.015259729951367484,0.018658452409141046,1.5133325360642347
mnist-10k,200,ward,0.4088069988553277,0.32640098899719305,0.3667816091630449,0.5788978610071354,0.4243454494856236,0.8219931290077511,0.4107232765282337,1.4259969389968319,-0.042025389692282755,-0.013622172957389878,2.46329626527892
mnist-10k,200,gmm,0.3468281936662933,0.8868871680024313,0.37479098721494464,1.0176728490041569,0.3468281936662933,0.8804946899908828,0.3374615345403308,1.4636558660131413,0.027962793548651332,-0.009366659125962518,1.4382381012182852
