dataset,method,time_s,n_clusters,noise_frac,ARI,AMI,V,silhouette,medoid_silhouette,davies_bouldin,calinski_harabasz
moons,sklearn-kmeans,0.0252207819994509,2.0,0.0,0.4844916202590565,0.3852451366626851,0.3852599191317138,0.4985516049271268,0.7822940596394885,0.8086602610368131,42005.89205564273
moons,sklearn-minibatch,0.0326173050016223,2.0,0.0,0.4835639471809845,0.3845272835967365,0.3845420840375387,0.4984361074627153,0.7824393077920383,0.8087581424772139,41982.85914276404
moons,sklearn-birch,0.2131099939997511,2.0,0.0,0.615898818187456,0.5963804099752589,0.5963902785260463,0.4589864112113268,0.6368270639434088,0.8452894588194478,34592.40597561436
moons,sklearn-gmm,0.035559120000471,2.0,0.0,0.503610230900652,0.402374104380346,0.4023884749641668,0.4990630837656665,0.7823608566169707,0.8085513306076172,41967.57070809502
moons,sklearn-ward,21.945850423999214,2.0,0.0,0.5065492557371563,0.5218148390109856,0.5218266981025532,0.4468770595375783,0.6208995920692966,0.8428179599461478,32092.1704087118
moons,sklearn-hdbscan,3.586939135000648,2.0,0.0,0.9998666666665184,0.9994894753923764,0.9994894876685124,0.3970184448677645,0.1458505761413063,1.0165909026542903,26354.85791414019
circles,betula-kmeans,0.0148344330009422,2.0,0.0,-3.3117766962119256e-05,-2.3889601582715044e-05,1.5709349147440137e-07,0.3510123240159397,0.6742927355890823,1.188380813648324,17174.700891562894
circles,betula-gmm,0.0351543500000843,2.0,0.0,-3.2583714150553584e-05,-2.3505040613849204e-05,5.418278063436434e-07,0.3575251547212139,0.6746679246957971,1.188200062928943,17177.36518701639
circles,betula-gmm-full,0.0800512289970356,2.0,0.0,-3.3222412686063275e-05,-2.3967067390178137e-05,8.015636229727081e-08,0.3531120688250543,0.6744802181856692,1.188086928273807,17179.133397780715
circles,betula-ward,0.1343988410008023,2.0,0.0,0.0027071241184841,0.0020884133285868,0.0021128341466157,0.33311272320727,0.644962699944824,1.2095068066488175,15571.579073011131
circles,betula-spectral,0.2834171720023732,2.0,0.0,1.0,1.0,1.0,0.1127451565099306,-0.9202951083599092,1810.3121761335733,0.0082148977332722
circles,betula-leiden,0.0030422740001085,3.0,0.0,0.0071860909056511,0.0058875779110137,0.0059248303547087,0.3470176214499546,0.6246387825353313,0.897375189510281,20041.07518189849
circles,betula-hdbscan,0.2082068449999496,2.0,0.0,1.0,1.0,1.0,0.1127451565099306,-0.9202951083599092,3307.498773852711,0.0024608489240244
circles,sklearn-kmeans,0.0271482629996171,2.0,0.0,-3.1375287531323895e-05,-2.2632863363916183e-05,1.413853307967726e-06,0.352350503100482,0.6742662923500785,1.1881020016862816,17182.819356338463
circles,sklearn-minibatch,0.0286390130004292,2.0,0.0,-3.233412830422297e-05,-2.3325443992856123e-05,7.213886894178619e-07,0.3481839313589551,0.6739165681069463,1.1890860216527743,17141.723573654042
circles,sklearn-birch,0.2205202340010146,2.0,0.0,0.005170175592969,0.0037512223107646,0.0037752095369698,0.3259338141651745,0.621948773216481,1.2217714923045264,15390.894428277434
circles,sklearn-gmm,0.0434752090004622,2.0,0.0,-3.269527300965628e-05,-2.3585087412131422e-05,4.616673873364117e-07,0.3548365588790367,0.6738440819222528,1.1900940723059883,17124.83587319366
circles,sklearn-ward,24.08480828699976,2.0,0.0,0.0005597573970163,0.0004202307782893,0.0004445210631428,0.3378147788101248,0.6548071938446262,1.195437580293171,16034.687878183831
circles,sklearn-hdbscan,3.507127885000955,2.0,0.0,1.0,1.0,1.0,0.1127451565099306,-0.9202951083599092,3307.498773852711,0.0024608489240244
highdim,betula-kmeans,0.0346609469997929,8.0,0.0,1.0,1.0,1.0,0.7719997332357339,0.9672349187121052,0.3281299185250288,103184.36893796094
highdim,betula-gmm,0.0417481959993892,8.0,0.0,1.0,1.0,1.0,0.7719997332357339,0.9672349187121052,0.3281299185250288,103184.36893796094
highdim,betula-gmm-full,0.2141521819994523,8.0,0.0,1.0,1.0,1.0,0.7719997332357339,0.9672349187121052,0.3281299185250288,103184.36893796094
highdim,betula-ward,0.3282523060006497,8.0,0.0,1.0,1.0,1.0,0.7719997332357339,0.9672349187121052,0.3281299185250288,103184.36893796094
highdim,betula-spectral,0.1267040680013451,8.0,0.0,1.0,1.0,1.0,0.7719997332357339,0.9672349187121052,0.3281299185250288,103184.36893796094
highdim,betula-leiden,0.0382877659994846,8.0,0.0,1.0,1.0,1.0,0.7719997332357339,0.9672349187121052,0.3281299185250288,103184.36893796094
highdim,betula-hdbscan,0.2319675939997978,8.0,0.0,1.0,1.0,1.0,0.7719997332357339,0.9672349187121052,0.3281299185250288,103184.36893796096
highdim,sklearn-kmeans,0.068341746000442,8.0,0.0,1.0,1.0,1.0,0.7719997332357339,0.9672349187121052,0.3281299185250288,103184.36893796096
highdim,sklearn-minibatch,0.0363658659989596,8.0,0.0,1.0,1.0,1.0,0.7719997332357339,0.9672349187121052,0.3281299185250288,103184.36893796091
highdim,sklearn-birch,5.50993600899892,8.0,0.0,1.0,1.0,1.0,0.7719997332357339,0.9672349187121052,0.3281299185250288,103184.36893796096
highdim,sklearn-gmm,0.2294707950004522,8.0,0.0,1.0,1.0,1.0,0.7719997332357339,0.9672349187121052,0.3281299185250288,103184.36893796096
highdim,sklearn-ward,32.81959529000051,8.0,0.0,1.0,1.0,1.0,0.7719997332357339,0.9672349187121052,0.3281299185250288,103184.36893796096
highdim,sklearn-hdbscan,9.656946225000866,8.0,0.0,1.0,1.0,1.0,0.7719997332357339,0.9672349187121052,0.3281299185250288,103184.36893796094
