dataset,n,d,method,min,median,max,range
digits,1797,64,betula-kmeans,0.5673360435335721,0.5689109061043072,0.5792992249923572,0.011963181458785055
digits,1797,64,betula-gmm,0.3871326532853788,0.3871326532853788,0.3936082962699657,0.00647564298458686
digits,1797,64,betula-ward,0.699358503251921,0.699358503251921,0.699358503251921,0.0
mnist,20000,784,betula-kmeans,0.3375331289917294,0.3454718164913609,0.3849754998718824,0.04744237088015302
mnist,20000,784,betula-gmm,0.2400749385325048,0.258322003879149,0.2633805640255983,0.02330562549309348
mnist,20000,784,betula-ward,0.3175667761217607,0.3798037909026164,0.3888288124195476,0.07126203629778688
covtype,20000,54,betula-kmeans,-0.0448995627138743,0.0049737201257649,0.0244139338775298,0.0693134965914041
covtype,20000,54,betula-gmm,0.0477633908080316,0.0530171432743438,0.0568987283003798,0.009135337492348197
covtype,20000,54,betula-ward,-0.0514876125288785,-0.0491247826417789,-0.0021278015790514,0.049359810949827096
