dataset,max_leaves,head,arrival_refit0,arrival_refit1,canonical_refit0,canonical_refit1,delta_arrival,delta_canonical
digits,90,kmeans,0.5832880343500844,0.6067954772811752,0.4430952034780049,0.5611682301342323,0.02350744293109086,0.11807302665622743
digits,90,ward,0.5330573790137061,0.5303356872007314,0.45458921242080746,0.5821816349987671,-0.002721691812974658,0.1275924225779596
digits,90,gmm,0.5943323436610782,0.610203706695729,0.3926726005508047,0.524312232690967,0.015871363034650754,0.13163963214016233
mnist-10k,200,kmeans,0.2328850547338149,0.28994059125744953,0.2799854614545478,0.3336508677033954,0.057055536523634626,0.053665406248847636
mnist-10k,200,ward,0.21623810782622857,0.2583090069611897,0.248400545927627,0.30055695296471663,0.04207089913496112,0.052156407037089625
mnist-10k,200,gmm,0.15627328164820686,0.21074862429496058,0.2426077173712787,0.2507673192027691,0.054475342646753716,0.00815960183149042
