dataset,n,method,time_s,n_clusters,noise_frac,ARI,AMI,V,silhouette,medoid_silhouette,davies_bouldin,calinski_harabasz,error
mnist,20000,betula-gmm,4.6565427000005,10.0,0.0,0.3062586940201528,0.3959827028477368,0.3965269032610644,-0.0253606485734947,0.0609496797587621,3.718983350739074,343.4219013445769,
mnist,20000,betula-gmm-full,,,,,,,,,,,"skipped (full cov, high-d)"
mnist,20000,betula-ward,3.4746872119994805,10.0,0.0,0.3935687331485714,0.5355988505524442,0.5360279803177247,-0.031902098668702,0.1077796959171806,3.647156136523704,347.9139981747313,
mnist,20000,betula-spectral,1.5597824579999724,10.0,0.0,0.3352035165411005,0.4757065760297411,0.4761910578792466,-0.0231018790011058,0.108057784632285,3.746402793722888,343.75146181773323,
mnist,20000,betula-leiden,0.3586338210006943,15.0,0.0,0.2813892005947468,0.459781983071304,0.4605916963670247,0.0172334100977633,0.1228139761343829,3.0453085488159264,256.83271134557395,
mnist,20000,betula-hdbscan,1.8883657959995617,2.0,0.1064,0.0033928606982659,0.0252173928607281,0.0255547045457137,0.2653337113286598,0.5559001543402493,1.8368178665578097,99.5014605271417,
mnist,20000,sklearn-kmeans,8.389736785999048,10.0,0.0,0.3243654991825125,0.4347354866076107,0.4352461630694851,0.0091656972659649,0.1734935793189975,3.3092770772615703,424.5468159388037,
mnist,20000,sklearn-minibatch,0.2127257529991766,10.0,0.0,0.2863203146252148,0.4055030040979062,0.4060494528494231,-0.0024496688512323,0.1466449458144192,3.508765113577076,382.8287262573601,
mnist,20000,sklearn-birch,82.79434316900006,10.0,0.0,0.4257128440663819,0.5651082553812622,0.5655057231290579,-0.0271597125245069,0.0911869510810973,3.794420175821004,344.4068837315408,
mnist,20000,sklearn-gmm,,,,,,,,,,,"skipped (full cov, high-d)"
mnist,20000,sklearn-ward,,,,,,,,,,,skipped (O(N^2))
mnist,20000,sklearn-hdbscan,,,,,,,,,,,skipped (O(N^2))
covtype,20000,betula-kmeans,0.0582242029995541,7.0,0.0,0.0657670586954166,0.1832192557972556,0.1838279036741565,0.1046387090491192,0.385126855513988,2.1858120270217896,746.4759394950122,
covtype,20000,betula-gmm,0.133553256999221,7.0,0.0,0.0769907041789431,0.1568637005852161,0.1573826048492357,0.1108955462720679,0.3598232543655457,2.610675796292306,709.3541053169205,
covtype,20000,betula-gmm-full,4.412513500999921,7.0,0.0,0.0686496484728097,0.1530948928026785,0.1536126961472715,0.110667174766486,0.3597959396746759,2.5544716493359063,708.4339088004848,
covtype,20000,betula-ward,0.4236313319997862,7.0,0.0,0.090745744211768,0.2018522779445141,0.2023237096677425,0.0812212685481158,0.3506806895163987,2.7026245180690585,758.041355110486,
covtype,20000,betula-spectral,0.5614428379994933,7.0,0.0,0.0575077332912799,0.0722215078918268,0.0727831751940846,0.1004776023021612,0.2792203034887648,3.0734370294943085,516.5240795651188,
covtype,20000,betula-leiden,0.0486404200000833,38.0,0.0,0.0460529301723462,0.1942589079784983,0.1963352589027381,0.407266613268597,0.707497382826962,0.7494369145762139,1681.8059752033537,
covtype,20000,betula-hdbscan,0.285095083001579,47.0,0.0163,0.0504402493849685,0.1873852779535683,0.1900991020784044,0.3986439877591743,0.723225504075764,0.957173926389712,2025.86327901625,
covtype,20000,sklearn-kmeans,0.1933978589986509,7.0,0.0,0.0539173936491483,0.1751795665193808,0.1757342524249114,0.1108042123759059,0.4162440744853227,2.201753600440552,751.7020988003255,
covtype,20000,sklearn-minibatch,0.0201604810008575,7.0,0.0,0.0519218874938722,0.1466345145810066,0.1472013328530372,0.0614330446754238,0.2803173814943709,2.6785457548243485,680.0018455671507,
covtype,20000,sklearn-birch,4.567204846000095,7.0,0.0,0.1306246382611588,0.2100298505923734,0.2105762624595726,0.1127706188109704,0.3317500377812859,2.139893328369424,723.3148239454134,
covtype,20000,sklearn-gmm,0.8156207160009217,7.0,0.0,0.080095892448966,0.1932771905536842,0.1938276962157691,0.105777073685767,0.3866697706498126,2.1411143703093662,713.5604678433766,
covtype,20000,sklearn-ward,,,,,,,,,,,skipped (O(N^2))
covtype,20000,sklearn-hdbscan,,,,,,,,,,,skipped (O(N^2))
