dataset,n,k,method,max_leaves,seeds,ari,ari_min,ari_max,leaves,fill,threshold,max_leaf_weight,top1_mass,time_s
structured,100000,7,betula-kmeans/subspace,1000,3,1.0,1.0,1.0,129,0.129,18.30703805327515,16704.0,0.16704,0.023829559999285266
structured,100000,7,betula-ward,1000,3,0.41742408819630855,0.41742408819630855,0.41742408819630855,914,0.914,1.1184853946022275,80000.0,0.8,0.10978738500853069
structured,100000,7,betula-ward/manhattan,1000,3,0.4174539349588953,0.4174539349588953,0.4174539349588953,993,0.993,2.652763522971645,80000.0,0.8,0.11070413800189272
structured,100000,7,betula-ward/average,1000,3,0.41749270253826515,0.41749270253826515,0.41749270253826515,962,0.962,1.65195749385394,80000.0,0.8,0.0875872780015925
structured,100000,7,betula-ward/diameter,1000,3,0.4174767609918481,0.4174767609918481,0.4174767609918481,968,0.968,1.1925036298925509,80533.0,0.80533,0.08678830599819776
structured,100000,7,betula-ward/ward,1000,3,0.9975923856027855,0.9975923856027855,0.9975923856027855,937,0.937,1.7885137567322462,2996.0,0.02996,0.07837949100940023
structured,100000,7,betula-ward/radius,1000,3,0.4172918337275713,0.4172918337275713,0.4172918337275713,939,0.939,0.5747662109224573,80600.0,0.806,0.08841579500585794
structured,100000,7,betula-ward/chi2,1000,3,0.9986829012191182,0.9986829012191182,0.9986829012191182,129,0.129,18.30703805327515,16704.0,0.16704,0.027203591002034955
structured,100000,7,betula-ward/subspace,1000,3,0.9986829012191182,0.9986829012191182,0.9986829012191182,129,0.129,18.30703805327515,16704.0,0.16704,0.0345108559995424
structured,100000,7,betula-gmm,1000,3,0.41913999330842583,0.41913999330842583,0.41913999330842583,914,0.914,1.1184853946022275,80000.0,0.8,0.10896775398578029
structured,100000,7,betula-gmm/manhattan,1000,3,0.41913999330842583,0.41913999330842583,0.41913999330842583,993,0.993,2.652763522971645,80000.0,0.8,0.12621077400399372
structured,100000,7,betula-gmm/average,1000,3,0.41913999330842583,0.4191365103994073,0.41913999330842583,902,0.902,1.6755166736655567,80000.0,0.8,0.11279567799647339
structured,100000,7,betula-gmm/diameter,1000,3,0.41913999330842583,0.41913999330842583,0.41913999330842583,914,0.914,1.1995616714821482,80722.0,0.80722,0.1471085730008781
structured,100000,7,betula-gmm/ward,1000,3,1.0,1.0,1.0,937,0.937,1.7885137567322462,2996.0,0.02996,0.07019403600133955
structured,100000,7,betula-gmm/radius,1000,3,0.41913999330842583,0.41913999330842583,0.41913999330842583,939,0.939,0.5747662109224574,80600.0,0.806,0.17209152999566868
structured,100000,7,betula-gmm/chi2,1000,3,1.0,1.0,1.0,111,0.111,18.30703805327515,23519.0,0.23519,0.025250960999983363
structured,100000,7,betula-gmm/subspace,1000,3,1.0,1.0,1.0,111,0.111,18.30703805327515,23519.0,0.23519,0.03368486399995163
structured,100000,7,sklearn-birch-matched,4000,1,0.3266168166867668,0.3266168166867668,0.3266168166867668,4183,1.04575,0.59564453125,80000.0,0.8,19.04298364299757
structured,100000,7,betula-kmeans,4000,3,0.4173984209640774,0.4173984209640774,0.4173989350269845,3767,0.94175,0.7046751999289016,80000.0,0.8,0.15954234299715608
structured,100000,7,betula-kmeans/manhattan,4000,3,1.0,1.0,1.0,3996,0.999,2.170956244208698,40000.0,0.4,0.1277319219952915
structured,100000,7,betula-kmeans/average,4000,3,0.4174055903620931,0.4174055903620931,0.4174064785230149,3797,0.94925,0.9746961180495468,80000.0,0.8,0.10732237101183273
structured,100000,7,betula-kmeans/diameter,4000,3,1.0,1.0,1.0,3935,0.98375,0.806598808059916,40054.0,0.40054,0.11393515999952797
structured,100000,7,betula-kmeans/ward,4000,3,1.0,1.0,1.0,3746,0.9365,0.8017927218910509,1438.0,0.01438,0.087164513010066
structured,100000,7,betula-kmeans/radius,4000,3,1.0,1.0,1.0,3622,0.9055,0.3571018866900018,40014.0,0.40014,0.11220468799001537
structured,100000,7,betula-kmeans/chi2,4000,3,1.0,1.0,1.0,129,0.03225,18.30703805327515,16704.0,0.16704,0.015581455998471938
structured,100000,7,betula-kmeans/subspace,4000,3,1.0,1.0,1.0,129,0.03225,18.30703805327515,16704.0,0.16704,0.022583578000194393
structured,100000,7,betula-gmm,4000,3,0.41883570865553466,0.41883570865553466,0.41883570865553466,3767,0.94175,0.7046751999289016,80000.0,0.8,0.3335501160036074
structured,100000,7,betula-gmm/manhattan,4000,3,1.0,1.0,1.0,3996,0.999,2.170956244208698,40000.0,0.4,0.20985276499413885
structured,100000,7,betula-gmm/average,4000,3,0.41756929602634946,0.41756929602634946,0.41799662317781267,3893,0.97325,0.9703542140692926,80000.0,0.8,0.3748259259882616
structured,100000,7,betula-gmm/diameter,4000,3,1.0,1.0,1.0,3789,0.94725,0.8114670258506482,40181.0,0.40181,0.23579387500649318
structured,100000,7,betula-gmm/ward,4000,3,1.0,1.0,1.0,3746,0.9365,0.8017927218910509,1438.0,0.01438,0.1843518740060972
structured,100000,7,betula-gmm/radius,4000,3,1.0,1.0,1.0,3622,0.9055,0.3571018866900018,40014.0,0.40014,0.266017481990275
structured,100000,7,betula-gmm/chi2,4000,3,1.0,1.0,1.0,111,0.02775,18.30703805327515,23519.0,0.23519,0.023825942989788018
structured,100000,7,betula-gmm/subspace,4000,3,1.0,1.0,1.0,111,0.02775,18.30703805327515,23519.0,0.23519,0.03253234800649807
flat,100000,6,sklearn-kmeans,0,3,1.0,1.0,1.0,0,,,,,0.1318268290051492
flat,100000,6,sklearn-birch,0,3,0.8519036106798461,0.8519036106798461,0.8519036106798461,7162,,0.5,80000.0,0.8,2.2542780930089066
flat,100000,6,sklearn-birch-matched,250,1,1.0,1.0,1.0,282,1.128,0.90798828125,80000.0,0.8,9.91985412100621
flat,100000,6,betula-kmeans,250,3,1.0,1.0,1.0,232,0.928,1.6482646491276716,80000.0,0.8,0.05151261200080626
flat,100000,6,betula-kmeans/manhattan,250,3,1.0,1.0,1.0,225,0.9,3.296505018046908,80000.0,0.8,0.055692309004371054
flat,100000,6,betula-kmeans/average,250,3,1.0,1.0,1.0,238,0.952,2.445875515432849,80000.0,0.8,0.03882129800331313
flat,100000,6,betula-kmeans/diameter,250,3,1.0,1.0,1.0,249,0.996,1.6378663245185785,81351.0,0.81351,0.03828752499248367
flat,100000,6,betula-kmeans/ward,250,3,1.0,1.0,1.0,232,0.928,3.729463192408272,4832.0,0.04832,0.03016450699942652
flat,100000,6,betula-kmeans/radius,250,3,1.0,1.0,1.0,238,0.952,0.808000801971559,81370.0,0.8137,0.035241098987171426
flat,100000,6,betula-kmeans/chi2,250,3,1.0,1.0,1.0,124,0.496,18.30703805327515,23399.0,0.23399,0.015057200987939723
flat,100000,6,betula-kmeans/subspace,250,3,1.0,1.0,1.0,124,0.496,18.30703805327515,23399.0,0.23399,0.02454800000123214
flat,100000,6,betula-ward,250,3,1.0,1.0,1.0,232,0.928,1.6482646491276716,80000.0,0.8,0.06532857099955436
flat,100000,6,betula-ward/manhattan,250,3,1.0,1.0,1.0,225,0.9,3.296505018046908,80000.0,0.8,0.07303202000912279
flat,100000,6,betula-ward/average,250,3,1.0,1.0,1.0,238,0.952,2.445875515432849,80000.0,0.8,0.04793200199492276
flat,100000,6,betula-ward/diameter,250,3,1.0,1.0,1.0,249,0.996,1.6378663245185785,81351.0,0.81351,0.05276127898832783
flat,100000,6,betula-ward/ward,250,3,0.9999964931241875,0.9999964931241875,0.9999964931241875,232,0.928,3.729463192408272,4832.0,0.04832,0.041400415007956326
flat,100000,6,betula-ward/radius,250,3,1.0,1.0,1.0,238,0.952,0.808000801971559,81370.0,0.8137,0.05171489300846588
flat,100000,6,betula-ward/chi2,250,3,0.9972309305640419,0.9972309305640419,0.9972309305640419,124,0.496,18.30703805327515,23399.0,0.23399,0.032408364000730217
flat,100000,6,betula-ward/subspace,250,3,0.9972309305640419,0.9972309305640419,0.9972309305640419,124,0.496,18.30703805327515,23399.0,0.23399,0.0412188739865087
flat,100000,6,betula-gmm,250,3,1.0,1.0,1.0,232,0.928,1.6482646491276716,80000.0,0.8,0.0626556659990456
flat,100000,6,betula-gmm/manhattan,250,3,1.0,1.0,1.0,225,0.9,3.296505018046908,80000.0,0.8,0.06879047700203955
flat,100000,6,betula-gmm/average,250,3,1.0,1.0,1.0,242,0.968,2.4610168780785897,80000.0,0.8,0.049710634993971325
flat,100000,6,betula-gmm/diameter,250,3,1.0,1.0,1.0,238,0.952,1.6251574868465979,81352.0,0.81352,0.05055834900122136
flat,100000,6,betula-gmm/ward,250,3,1.0,1.0,1.0,232,0.928,3.729463192408272,4832.0,0.04832,0.03862702299375087
flat,100000,6,betula-gmm/radius,250,3,1.0,1.0,1.0,238,0.952,0.808000801971559,81370.0,0.8137,0.04508149399771355
flat,100000,6,betula-gmm/chi2,250,3,1.0,1.0,1.0,108,0.432,18.30703805327515,29273.0,0.29273,0.02285155199933797
flat,100000,6,betula-gmm/subspace,250,3,1.0,1.0,1.0,108,0.432,18.30703805327515,29273.0,0.29273,0.03212927001004573
flat,100000,6,sklearn-birch-matched,1000,1,0.8520940817348317,0.8520940817348317,0.8520940817348317,987,0.987,0.7713378906249999,80000.0,0.8,10.133809268008918
flat,100000,6,betula-kmeans,1000,3,1.0,1.0,1.0,920,0.92,1.1428685872658277,80000.0,0.8,0.08021133299916983
flat,100000,6,betula-kmeans/manhattan,1000,3,1.0,1.0,1.0,947,0.947,2.75546360270501,80000.0,0.8,0.08569238599739037
flat,100000,6,betula-kmeans/average,1000,3,1.0,1.0,1.0,971,0.971,1.6844665212921883,80000.0,0.8,0.06178581099084113
flat,100000,6,betula-kmeans/diameter,1000,3,1.0,1.0,1.0,997,0.997,1.211760776951042,80913.0,0.80913,0.06343151500914246
flat,100000,6,betula-kmeans/ward,1000,3,1.0,1.0,1.0,919,0.919,1.9085909449794254,3237.0,0.03237,0.04679123799724039
flat,100000,6,betula-kmeans/radius,1000,3,1.0,1.0,1.0,978,0.978,0.5726625757543827,80923.0,0.80923,0.06130203200154938
flat,100000,6,betula-kmeans/chi2,1000,3,1.0,1.0,1.0,124,0.124,18.30703805327515,23399.0,0.23399,0.014693718010676093
flat,100000,6,betula-kmeans/subspace,1000,3,1.0,1.0,1.0,124,0.124,18.30703805327515,23399.0,0.23399,0.023211837993585505
flat,100000,6,betula-ward,1000,3,0.9998847360473946,0.9998847360473946,0.9998847360473946,920,0.92,1.1428685872658277,80000.0,0.8,0.10071018298913259
flat,100000,6,betula-ward/manhattan,1000,3,1.0,1.0,1.0,947,0.947,2.75546360270501,80000.0,0.8,0.11077421900699846
flat,100000,6,betula-ward/average,1000,3,1.0,1.0,1.0,971,0.971,1.6844665212921883,80000.0,0.8,0.08940565500233788
flat,100000,6,betula-ward/diameter,1000,3,1.0,1.0,1.0,997,0.997,1.211760776951042,80913.0,0.80913,0.09441136399982497
flat,100000,6,betula-ward/ward,1000,3,0.9982672541409572,0.9982672541409572,0.9982672541409572,919,0.919,1.9085909449794254,3237.0,0.03237,0.06884466900373809
flat,100000,6,betula-ward/radius,1000,3,1.0,1.0,1.0,978,0.978,0.5726625757543827,80923.0,0.80923,0.09386329399421811
flat,100000,6,betula-ward/chi2,1000,3,0.9972309305640419,0.9972309305640419,0.9972309305640419,124,0.124,18.30703805327515,23399.0,0.23399,0.03226307099976111
flat,100000,6,betula-ward/subspace,1000,3,0.9972309305640419,0.9972309305640419,0.9972309305640419,124,0.124,18.30703805327515,23399.0,0.23399,0.0407785269926535
flat,100000,6,betula-gmm,1000,3,1.0,1.0,1.0,920,0.92,1.1428685872658277,80000.0,0.8,0.09631448099389672
flat,100000,6,betula-gmm/manhattan,1000,3,1.0,1.0,1.0,947,0.947,2.75546360270501,80000.0,0.8,0.10434215900022537
flat,100000,6,betula-gmm/average,1000,3,1.0,1.0,1.0,934,0.934,1.6617392577276584,80000.0,0.8,0.07962880899140146
flat,100000,6,betula-gmm/diameter,1000,3,1.0,1.0,1.0,959,0.959,1.2016951262334252,81066.0,0.81066,0.09509602100297343
flat,100000,6,betula-gmm/ward,1000,3,1.0,1.0,1.0,919,0.919,1.9085909449794254,3237.0,0.03237,0.0614594280050369
flat,100000,6,betula-gmm/radius,1000,3,1.0,1.0,1.0,978,0.978,0.572662575754383,80923.0,0.80923,0.07973513900651596
flat,100000,6,betula-gmm/chi2,1000,3,1.0,1.0,1.0,108,0.108,18.30703805327515,29273.0,0.29273,0.022821405000286177
flat,100000,6,betula-gmm/subspace,1000,3,1.0,1.0,1.0,108,0.108,18.30703805327515,29273.0,0.29273,0.031819937998079695
flat,100000,6,sklearn-birch-matched,4000,1,0.8518820216967159,0.8518820216967159,0.8518820216967159,4217,1.05425,0.59564453125,80000.0,0.8,19.060191778000444
flat,100000,6,betula-kmeans,4000,3,1.0,1.0,1.0,3792,0.948,0.7348848707845282,80000.0,0.8,0.1462106760009192
flat,100000,6,betula-kmeans/manhattan,4000,3,1.0,1.0,1.0,3876,0.969,2.113421057934866,80000.0,0.8,0.12633619899861515
flat,100000,6,betula-kmeans/average,4000,3,1.0,1.0,1.0,3850,0.9625,0.9946159956375543,38186.0,0.38186,0.10486023299745284
flat,100000,6,betula-kmeans/diameter,4000,3,1.0,1.0,1.0,3813,0.95325,0.8117313781254784,80063.0,0.80063,0.10956033700495027
flat,100000,6,betula-kmeans/ward,4000,3,1.0,1.0,1.0,3685,0.92125,0.8068009329581908,1343.0,0.01343,0.08725120600138325
flat,100000,6,betula-kmeans/radius,4000,3,1.0,1.0,1.0,3613,0.90325,0.35532025104379755,80099.0,0.80099,0.11172593900118954
flat,100000,6,betula-kmeans/chi2,4000,3,1.0,1.0,1.0,124,0.031,18.30703805327515,23399.0,0.23399,0.014992919997894205
flat,100000,6,betula-kmeans/subspace,4000,3,1.0,1.0,1.0,124,0.031,18.30703805327515,23399.0,0.23399,0.02390511099656578
flat,100000,6,betula-gmm,4000,3,1.0,1.0,1.0,3792,0.948,0.7348848707845282,80000.0,0.8,0.1563540909992298
flat,100000,6,betula-gmm/manhattan,4000,3,1.0,1.0,1.0,3876,0.969,2.113421057934866,80000.0,0.8,0.16514570599247236
flat,100000,6,betula-gmm/average,4000,3,1.0,1.0,1.0,3682,0.9205,1.011313374379401,42754.0,0.42754,0.14354485500371084
flat,100000,6,betula-gmm/diameter,4000,3,1.0,1.0,1.0,3855,0.96375,0.8193709204614449,78372.0,0.78372,0.15293525499873795
flat,100000,6,betula-gmm/ward,4000,3,1.0,1.0,1.0,3685,0.92125,0.8068009329581908,1343.0,0.01343,0.1194666670053266
flat,100000,6,betula-gmm/radius,4000,3,1.0,1.0,1.0,3613,0.90325,0.35532025104379755,80099.0,0.80099,0.14621849899413064
flat,100000,6,betula-gmm/chi2,4000,3,1.0,1.0,1.0,108,0.027,18.30703805327515,29273.0,0.29273,0.02250911798910238
flat,100000,6,betula-gmm/subspace,4000,3,1.0,1.0,1.0,108,0.027,18.30703805327515,29273.0,0.29273,0.030852309995680116
