dataset,n,max_leaves,head,vary,p,ari_min,ari_median,ari_max,ari_spread,pairwise_ari_mean,pairwise_ari_min,leaves_min,leaves_max,max_leaf_weight_max,time_s_median
digits,1797,360,ward,canonical,8,0.5757849053313131,0.5757849053313131,0.5757849053313131,0.0,1.0,1.0,340,340,160.0,0.011622198499935621
digits,1797,90,kmeans,order,8,0.14754356927985524,0.18259170205752417,0.2739393022437327,0.12639573296387746,0.3619911303665734,0.1711881472843203,83,90,1140.0,0.004305909500544658
digits,1797,90,kmeans,seed,8,0.11414194884217928,0.18554186854860383,0.21541246366655076,0.10127051482437148,0.6972852257872084,0.49680572130442746,89,89,1102.0,0.00434633050008415
digits,1797,90,kmeans,canonical,8,0.1814778595138641,0.1814778595138641,0.1814778595138641,0.0,1.0,1.0,88,88,1048.0,0.0073150014995917445
digits,1797,90,gmm,order,8,0.12703659174470758,0.25216880012148496,0.273989907928902,0.1469533161841944,0.37323948226742726,0.1718486337947086,83,90,1140.0,0.01587322000068525
digits,1797,90,gmm,seed,8,0.1780432763666237,0.20784273392391175,0.21244927631763677,0.034405999951013067,0.6094366882432272,0.4205757625035224,89,89,1102.0,0.01593890799995279
digits,1797,90,gmm,canonical,8,0.2518266552327883,0.2518266552327883,0.2518266552327883,0.0,1.0,1.0,88,88,1048.0,0.016059104000305524
digits,1797,90,ward,order,8,0.10692085356141705,0.21180145624353952,0.3055630819579508,0.19864222839653373,0.3425359260062442,0.1829953954386336,83,90,1140.0,0.005718640501072514
digits,1797,90,ward,seed,8,0.1101133503699786,0.1101133503699786,0.1101133503699786,0.0,1.0,1.0,89,89,1102.0,0.004524861500613042
digits,1797,90,ward,canonical,8,0.2477969940759681,0.2477969940759681,0.2477969940759681,0.0,1.0,1.0,88,88,1048.0,0.004969297000570805
covtype-20k,20000,20000,kmeans,order,8,0.06613688799653537,0.08353304213903556,0.09788859018779324,0.03175170219125786,0.5861241367253504,0.427132172515262,20000,20000,1.0,0.9620927279993339
covtype-20k,20000,20000,kmeans,seed,8,0.05514761398159435,0.08370017567375841,0.10767158531363945,0.052523971332045095,0.5557272335611547,0.30252316389509054,20000,20000,1.0,0.9932330834999448
covtype-20k,20000,20000,kmeans,canonical,8,0.06832152187420568,0.06832152187420568,0.06832152187420568,0.0,1.0,1.0,20000,20000,1.0,0.7536413964990061
covtype-20k,20000,20000,gmm,order,8,0.05003352652020345,0.09098440689472309,0.1108578942674258,0.06082436774722235,0.404873495509209,0.2326059463830324,20000,20000,1.0,1.8634915405000356
covtype-20k,20000,20000,gmm,seed,8,0.08073521358066035,0.08874069377190179,0.1108578942674258,0.03012268068676545,0.6526118651161719,0.41235127257608734,20000,20000,1.0,1.9927172389998304
covtype-20k,20000,20000,gmm,canonical,8,0.09760795181213056,0.09760795181213056,0.09760795181213056,0.0,1.0,1.0,20000,20000,1.0,1.8688664044993857
covtype-20k,20000,20000,ward,order,8,0.14141455201003497,0.14164852681813245,0.14189516395019758,0.00048061194016260633,0.9960347990387689,0.9913807532324186,20000,20000,1.0,119.18455701199946
covtype-20k,20000,20000,ward,seed,8,0.14159417937892219,0.14159417937892219,0.14159417937892219,0.0,1.0,1.0,20000,20000,1.0,102.33664284750012
covtype-20k,20000,20000,ward,canonical,8,0.1364949213265135,0.1364949213265135,0.1364949213265135,0.0,1.0,1.0,20000,20000,1.0,75.07421799049916
covtype-20k,20000,2000,kmeans,order,8,0.06095999114458653,0.07853347254635469,0.09109320836934788,0.030133217224761352,0.6090309337497476,0.4778143794867934,1805,1983,793.0,0.08329804749882896
covtype-20k,20000,2000,kmeans,seed,8,0.04941071091379971,0.08268042073475673,0.09109320836934788,0.04168249745554817,0.6291451754235782,0.4385252239537941,1805,1805,793.0,0.07845732799978578
covtype-20k,20000,2000,kmeans,canonical,8,0.07136398819266203,0.07136398819266203,0.07136398819266203,0.0,1.0,1.0,1874,1874,671.0,0.09342079200177977
covtype-20k,20000,2000,gmm,order,8,0.06374600815591673,0.07871890536775172,0.11143442302786771,0.04768841487195098,0.5206463167995289,0.2854568447368312,1805,1983,793.0,0.22769291650001833
covtype-20k,20000,2000,gmm,seed,8,0.06359159204778932,0.067671177404386,0.10226689425395381,0.0386753022061645,0.6153772394519618,0.37511176460136575,1805,1805,793.0,0.194747962999827
covtype-20k,20000,2000,gmm,canonical,8,0.08056720476645592,0.08056720476645592,0.08056720476645592,0.0,1.0,1.0,1874,1874,671.0,0.2787283284997102
covtype-20k,20000,2000,ward,order,8,0.14131747460615232,0.14172760841888501,0.1417718240293496,0.00045434942319727556,0.998425165557918,0.9955038019837437,1805,1983,793.0,0.25049823349945655
covtype-20k,20000,2000,ward,seed,8,0.14164936084112206,0.14164936084112206,0.14164936084112206,0.0,1.0,1.0,1805,1805,793.0,0.22828800050046993
covtype-20k,20000,2000,ward,canonical,8,0.13679814295148074,0.13679814295148074,0.13679814295148074,0.0,1.0,1.0,1874,1874,671.0,0.24107801450008992
covtype-20k,20000,300,kmeans,order,8,0.05534228363254145,0.08133374907702862,0.09189306604952324,0.03655078241698179,0.5203262730508379,0.2609272962335415,278,299,3740.0,0.047213601999828825
covtype-20k,20000,300,kmeans,seed,8,0.06552540754272368,0.09022219835125575,0.10530326500928394,0.03977785746656026,0.7078357741422348,0.49106673215501867,279,279,3666.0,0.04546901300091122
covtype-20k,20000,300,kmeans,canonical,8,0.09527116695137332,0.09527116695137332,0.09527116695137332,0.0,1.0,1.0,274,274,2436.0,0.052069791499889106
covtype-20k,20000,300,gmm,order,8,0.025095404957307176,0.08745299179518702,0.10870369958460323,0.08360829462729605,0.376625047213021,0.12176540205371826,278,299,3740.0,0.06636643300043943
covtype-20k,20000,300,gmm,seed,8,0.05663145779056015,0.06669084467510168,0.10870369958460323,0.05207224179404308,0.6972059512856328,0.29509307774232996,279,279,3666.0,0.06036536099963996
covtype-20k,20000,300,gmm,canonical,8,0.045168090432129195,0.045168090432129195,0.045168090432129195,0.0,1.0,1.0,274,274,2436.0,0.07431822600119631
covtype-20k,20000,300,ward,order,8,0.14101153614611062,0.14174786016161167,0.14234568848458826,0.00133415233847764,0.9902245705125969,0.9818926778789362,278,299,3740.0,0.06466198899943265
covtype-20k,20000,300,ward,seed,8,0.1417083385560016,0.1417083385560016,0.1417083385560016,0.0,1.0,1.0,279,279,3666.0,0.06263761800073553
covtype-20k,20000,300,ward,canonical,8,0.1412935744999246,0.1412935744999246,0.1412935744999246,0.0,1.0,1.0,274,274,2436.0,0.07272948450008698
mnist-10k,10000,10000,kmeans,order,8,0.25574881081309964,0.2803312054180775,0.29974539154501956,0.04399658073191992,0.6416168239785341,0.454461272634044,10000,10000,1.0,7.433502605001195
mnist-10k,10000,10000,kmeans,seed,8,0.2589959369451276,0.2800072863138003,0.2934590579444427,0.03446312099931509,0.6605470735692991,0.5210004960534483,10000,10000,1.0,8.046145521000653
mnist-10k,10000,10000,kmeans,canonical,8,0.27452733534751766,0.27452733534751766,0.27452733534751766,0.0,1.0,1.0,10000,10000,1.0,6.741236698999273
mnist-10k,10000,10000,gmm,order,8,0.20080570593788682,0.22168752080787102,0.26329940657570083,0.06249370063781401,0.4288854386964266,0.31916390764970237,10000,10000,1.0,73.60722420149796
mnist-10k,10000,10000,gmm,seed,8,0.22320995770062546,0.23028153647937416,0.2402393044217603,0.017029346721134847,0.5956985305383532,0.35905718901499667,10000,10000,1.0,81.9250563000005
mnist-10k,10000,10000,gmm,canonical,8,0.2503756571424742,0.2503756571424742,0.2503756571424742,0.0,1.0,1.0,10000,10000,1.0,78.92981511000107
